kor_title,eng_title
이렇게 예쁜 길이 그런 장소였을 줄이야.,I didn't expect such a beautiful street to be a place like that.
난 너무 피곤했단 말이야.,"I'm telling you, I was so tired."
같이 갈래요?,Shall we go together?
우빈 씨가 자료를 준비하십시오.,"Mr. Woobin, please prepare the material."
돼지갈비랑 냉면이 맛있어요.,Dwaejigalbi (barbecue pork rib) and naengmyun (cold noodles) are good.
여자 친구에게 향수를 선물하고 싶어요.,I would like to buy my girlfriend perfume as a gift.
우리 동호회에서 누가 제일 마음에 들어요?,Who do you like most in our club?
회사의 발전을 위해서 열심히 노력하겠습니다.,I will work hard for the advancement of the company.
남자 친구하고 헤어진 지 3개월 됐어요.,It's been three months since I broke up with my boyfriend.
보통 장교로 근무를 하니까 직업 군인이 아닌 이상 보기가 힘들어.,"Since they usually work as an officer, it's hard to see them unless you are a professional soldier."
아마 친구도 그 선물을 좋아할 거예요.,"Maybe, your friend will like the present, too."
한번 전화해 보시지요.,Try giving them a call.
오늘 집들이에 초대한 친구들이 다 올까요?,Will all of my friends that I invited come to the housewarming party today?
방에 창문이 있어요.,There is a window in the room.
다음 작품도 빨리 나왔으면 좋겠어요.,I wish the next work would be released quickly.
1919년에 우리가 일본으로부터 독립하고자 만세 시위 운동을 했는데 그것을 기념하는 날이지,"In 1919, we held a demonstration to gain independence from Japan and it's a day to celebrate it."
다른 분들도 비법이 뭐냐고 해요.,Other people also ask what is the secret. 
어머니께 드리고 싶어요.,I want to get one for my mother.
한국어를 체계적으로 배울 수 있을 뿐만 아니라 한국 사회와 문화도 다뤄서 좋았어요.,It was good not only because I could learn Korean systematically but also it dealt with Korean society and culture.
어떤 건물은 건물 자체의 디자인은 멋지다 싶은데도 왠지 어색하게 느껴지는 경우도 있어.,"Some bulidings may look nice in their own designs, but sometimes they look awkward."
재활용 쓰레기통이 따로 놓여 있어요.,There continue to be recyclable garbage bins separately placed.
계약금 천만 원을 입금하래.,"You need to deposit 10,000,000 won for the down payment."
지금이라도 선물하지 그래요?,Why don’t you give her a present even now?
그림을 그리고 있었어요.,I was drawing a picture.
그때는 신경 쓸 일이 많았던 탓에 신고하는 것을 잊어버렸어요.,I forgot to report it because I had a lot of things to worry about at that time.
회사가 어디에 있어요?,Where is your company?
같이 한국말을 연습하기도 하고 등산을 가기도 해요.,Together we practice Korean language and we also go hiking.
이 빌딩은 스마트 빌딩이라서 실외 온도에 따라서 자동으로 에어컨이 조절돼. 조명도 마찬가지이고.,This building is a smart building that the air conditioning is automatically controlled according to the outdoor temperature. So is the lighting.
내가 자주 가는 중고품 가게를 알려 줄 테니까 너도 한번 가 봐.,"I will tell you the second-hand store that I go to often, so you should try it."
저쪽에 자전거를 빌리는 곳이 있어요.,There is a bike rental shop over there.
방학이 기네요.,The vacation is long.
손님은 언제 오신대요?,When is the guest coming?
전시회에 가 보니까 제가 아는 그림들도 많이 있었어요.,"When I went to the exhibition, there were a lot of familiar paintings that I knew about."
나 이따가 삼계탕 먹으러 가는데 우리 같이 갈래?,Do you want to go with me? I'm going to eat Samgyetang later.
그 사람이 아니라 얼마 전에 소개팅을 해서 만난 사람이야.,He is not the guy but one that I met recently on a blind date.
중요한 경기인데 당연히 봤지.,"Of course, I saw it. It was an important match."
한국은 분리수거하는 게 여간 복잡한 게 아니에요.,Recycling is really complicated in Korea.
집까지 태워 주셔서 고맙습니다.,Thank you for giving me a ride home.
이렇게 과제가 많은 수업은 듣지 말자.,Let's not take the class with so many assignments.
오전 열 시 삼십 분이에요.,It's 10:30 am.
여기 있는 사람들이 다 롤러코스터 타려고 기다리는 사람들이야?,Are all these people waiting to ride the roller coaster?
집들이를 할 거예요.,I'm going to have a housewarming party.
인형은 싫어할 것 같아요.,I guess she would not like a stuffed animal.
이 작가의 작품은 읽을 때마다 새로워요.,"Whenever I read this author's work, it always feels new."
귀걸이가 떨어졌는데 안 보여요.,"I dropped my earring, but I can't find it."
자기가 준 선물을 다 달라고 했어요.,He asked me to return all the gifts that he has given to me.
항생제가 들어 있으니까 식사 후에 복용하시는 게 좋아요.,You better take it after meals because there are antibiotics in it.
저는 학생이 아니에요.,I'm not a student.
저는 커피를 안 마시면 졸리기 때문에 커피를 많이 마셔요.,I drink a lot of coffee because I feel sleepy when I don't drink it.
인스턴트식품을 많이 먹으면 건강이 나빠져요.,"If you eat too much instant food, your health will worsen."
우빈 씨는 여자 친구를 자주 만나요?,"Mr. Woobin, do you meet your girlfriend often?"
나는 아르바이트를 할지 봉사 활동을 할지 고민 중이야.,I haven't decided whether I do a part-time job or do some volunteer activities.
영화 감상인 것 같아요.,It seems to be watching movies.
그냥 이번 주말에는 집에서 영화나 보자.,Let's just watch movies at home this weekend.
방학 때 뭐 하고 지냈어?,How did you spend your vacation?
그럼 돈가스나 치킨을 먹을까요?,"Then, shall we eat pork cutlet or chicken?"
연구에 의하면 예체능 교육은 일찍 시작했느냐 늦게 시작했느냐에 따라 결과가 달라진다고 합니다.,"According to the study, the results of art, music and physical education depend on whether you start early or start late."
엄마한테 혼난 적도 많지만 어디 쉽게 고칠 수가 있어야지.,There are many times I got scolded by my mom but it's not easily fixed.
신청서에 이름과 질문하고 싶은 내용을 쓰도록 하세요.,"On the application, please write your name and any questions that you have."
저는 파티에 못 가요.,I cannot go to the party.
길 좀 가르쳐 주시겠어요?,Would you please show me the way?
일을 빨리 배울 수 있다기에 영업부에 지원을 했는데 좀 후회가 돼요.,"I was able to learn things quickly, so I was placed into the sales department but I am beginning to regret it a little."
휴가 때 뭐 할 거예요?,What are you going to do during the holidays?
오랜만에 만나도 어색하지 않은 것 같아요.,I don't feel awkward though it’s been a while since I met them last time.
생각하기 나름이지만 자기합리화라는 게 상처 받은 마음을 스스로 위로하는 방법일 수도 있거든.,"It depends on how you think, but self-rationalization might be a way to comfort your broken heart."
옷이 더러워질 수 있다고 하니까 갈아입을 옷이 있으면 좋아.,It will be good to bring extra clothes to wear because it might get dirty.
평범하다니요? 밝게 염색하면 개성 있어 보일 거예요.,"Ordinary? If you dye it brighter, it will bring out your individuality."
우빈 씨는 무슨 영화를 좋아해요?,"Mr. Woobin, what movies do you like?"
계좌를 만들려면 뭐가 필요합니까?,What do I need to open an account?
전시회에 가 보니까 제가 아는 그림들도 많이 있었어요.,"When I went to the exhibition, there were a lot of familiar paintings that I knew about."
우리 학교 근처는 집값이 비싸지 않아요?,Isn't a house near our school expensive?
서연 씨는 회사 일이 많은 것 같아요.,It seems that Ms. Seoyon has a lot of work at her company.
저희 팀원들과 같이 디자인을 했습니다.,I designed it together with my team members.
배가 고픕니다.,I'm hungry.
내 카드는 동반 2인까지 40퍼센트 할인해 준다고 하니까 내 카드로 결제할게.,"It is said that I can get a 40 percent discount for up to two people with my card, so I will pay with mine."
지금 사람이 많으니까 채혈을 먼저 하고서 가시는 게 좋아요.,"Since there are a lot of people, it is good to draw the blood first."
누가 발표를 하시겠어요?,Who will make a presentation?
유통기한이 길다고 다 좋은 건 아니야.,Not all of them are good because they have long expiration date.
채식주의자가 아니더라도 건강을 위해서 만들어 드시면 좋겠어요.,I hope you cook that for your health even if you are not a vegetarian.
한국 역사에 대한 책은 어디에 있습니까?,Where are books on the Korean history?
시간을 내기가 쉽지 않네.,It's not easy to find time.
이런 것들은 집에서 세탁하기 힘들잖아요.,It surely is difficult to clean these things at home.
스트레스 때문에 잠을 못 자는 것 같아요.,It seems that I don't sleep well because of stress.
한국에서는 태어나자마자 다 한 살이라던데 사실이야?,Is it ture that everyone is one years old from the time they are born in Korea?
거기 피자집 아니에요?,Isn't it a pizza house?
결과가 불완전할지언정 고증되지 않은 부분을 복원할 수는 없다고 생각했습니다.,I thought I shouldn't restore the unproven parts even if the results can me incomplete.
빵집에 케이크를 사러 가요.,I am going to the bakery to buy a cake.
예약하고 가시는 게 좋겠어요.,It would be better to reserve one.
이거 입어 봐도 돼요?,Can I try this on?
한강에 예쁜 꽃이 피었어요.,Beautiful flowers bloom along the Han River.
회사 생활을 하다가 보면 이런 일이 있게 마련이에요. 저도 중요한 약속을 취소했어요.,This is what happens while you live the company lifestyle. I also cancelled an important appointment.
저는 운동을 배우고 싶어요.,I want to learn sports.
뭐 먹으면서 볼까?,Shall we eat something while we watch the game?
방이 너무 더러워서 청소를 하고 있어요.,"The room is so messy, so I am cleaning it."
9시부터 수업이 있어요.,I have a class at nine.
보통 11시에 자요.,I usually go to bed at eleven.
저는 안 가려고 해요.,I am not going though.
새 모델이 기능도 다양하고 해서 바꿨어요.,I changed it because new models have many features.
검사가 잘 되게 장을 모두 비우는 약이에요.,It is a medication that empties the bowels so that the examination goes well.
오늘 한강에 사람이 정말 많군요.,There are a lot of people at the Han River today.
저희 아버지께서 짜장면을 좋아하십니다.,My father likes Korean black noodles.
저도 10분 전에 왔어요.,I got here ten minutes ago.
그 가수가 요즘 너무 바빠서 게시물을 못 올리겠거니 했는데 날마다 올라오네.,"I had thought he couldn't do posting since he is so busy these days, but it's coming up every day."
저쪽에 자전거를 빌리는 곳이 있어요.,There is a bike rental shop over there.
저는 콜라보다 주스를 더 좋아해요.,I like juice more than coke.
제 손바닥에 사인을 해 줬어요.,He signed his signature on my palm.
친구에게서 받았어요.,I received them from my friend.
이 작가의 작품은 읽을 때마다 새로워요.,"Whenever I read this author's work, it always feels new."
휴가 때 뭐 할 거예요?,What are you going to do during the holidays?
할머니께 입학 선물을 받았어요.,My grandmother gave it to me as a gift to celebrate my acceptance to the school.
네가 아침에 전화로 깨워 준 덕분에 늦지 않았어.,"Thanks to your wake-up call in the morning, I wasn't late."
친구들이 곧 우리 집에 도착할 거라고 했어요.,My friends said they would soon arrive at my house.
휴가를 갔다가 와 보니까 집이 엉망이 되어 있네요.,I came back from my vacation and my house is in a mess.
지하철로 갑시다.,Let's take the subway.
고향에서 자주 먹던 음식이 뭐예요?,What is the food that you used to eat in your hometown?
지원한 회사와 하는 일에 대해서 잘 알고 있는 게 중요해.,It is important to know about the company you are applying for and the work you are going to do.
우리가 약속한 날은 내일인데요.,Our appointment date is tomorrow.
제가 지금부터 말씀드리는 대로 따라 해 주세요.,Then please follow as I say.
저 파란 선을 보고 따라가시면 찾기 쉬워요.,"If you follow that blue line, it will be easy to find."
남자 주인공이 여자 주인공에게 헤어지자고 했어요.,The main male character asked the female main character to break up.
사무실에 직원이 몇 명 있어요?,How many employees are there in the office?
